type,amount,nameOrig,oldBalanceOrig,newBalanceOrig,nameDest,oldBalanceDest,newBalanceDest,isFraud,isFlaggedFraud
CASH_OUT,209531.8,C968945627,0.0,0.0,C1750956965,562032.13,2884719.28,0,0
TRANSFER,190771.1,C1826227285,0.0,0.0,C1531333864,561728.05,1754717.64,0,0
CASH_OUT,43442.15,C1787120799,41293.0,0.0,C1039302738,299332.35,343940.37,0,0
CASH_OUT,57864.51,C1704809688,66729.14,8864.63,C1018394275,0.0,57864.51,0,0
CASH_OUT,419023.36,C971952714,0.0,0.0,C176203926,913494.57,1495196.84,0,0
CASH_OUT,113338.99,C371645181,113338.99,0.0,C895376277,3290608.15,3403947.14,1,0
CASH_OUT,81661.91,C1288982083,0.0,0.0,C87192171,137418.46,277050.48,0,0
TRANSFER,3718503.37,C336342996,3718503.37,0.0,C190775867,0.0,0.0,1,0
CASH_OUT,39892.96,C482022711,0.0,0.0,C823592993,45416.21,0.0,0,0
TRANSFER,963286.15,C1347510893,0.0,0.0,C44870833,12424442.36,16103324.17,0,0
TRANSFER,43479.45,C2111381500,11582.0,0.0,C476402209,51513.44,97322.02,0,0
CASH_OUT,371939.38,C1180649970,0.0,0.0,C1359484306,4926169.48,7364724.84,0,0
TRANSFER,1721188.99,C142422563,0.0,0.0,C1313534832,6334829.13,8158603.55,0,0
CASH_OUT,147459.35,C1922920162,0.0,0.0,C11003494,11590178.72,11919932.15,0,0
CASH_OUT,49711.75,C1039155377,0.0,0.0,C913001083,65606.05,17276.69,0,0
CASH_OUT,29572.94,C1066128561,679.0,0.0,C1962165946,672236.76,490685.21,0,0
CASH_OUT,418300.1,C817047449,204352.02,0.0,C1065997164,2137644.25,2826797.81,0,0
TRANSFER,101392.92,C1484407499,101392.92,0.0,C86900925,0.0,0.0,1,0
CASH_OUT,202942.91,C1137280354,0.0,0.0,C795982694,487714.41,1556254.45,0,0
TRANSFER,739524.48,C1320060280,0.0,0.0,C1918034924,904604.06,1096437.03,0,0
CASH_OUT,321975.92,C942861498,7540.0,0.0,C824781215,80756.55,839382.17,0,0
TRANSFER,1029896.67,C476559574,116140.0,0.0,C1258643950,10304.0,1040200.67,0,0
TRANSFER,437352.96,C1703586197,0.0,0.0,C2120271841,4892.0,442244.96,0,0
CASH_OUT,747282.4,C842684426,747282.4,0.0,C2025644484,5340917.82,6088200.22,1,0
CASH_OUT,267564.83,C609937899,267564.83,0.0,C1397005077,0.0,267564.83,1,0
CASH_OUT,271229.02,C342479586,22520.0,0.0,C121523915,11069.0,256174.25,0,0
TRANSFER,1455687.96,C1619630608,51941.0,0.0,C2029406675,0.0,1353160.49,0,0
TRANSFER,549259.08,C1888102776,26566.0,0.0,C524804429,51806.0,1353412.68,0,0
CASH_OUT,175416.04,C1899793595,0.0,0.0,C1778801068,7887043.83,8680195.01,0,0
CASH_OUT,169993.43,C1707593506,0.0,0.0,C1404112538,2658931.59,4768770.86,0,0
CASH_OUT,33972.39,C1477528056,0.0,0.0,C1615443145,2979273.3,3071588.22,0,0
CASH_OUT,98984.46,C1260302110,0.0,0.0,C173275257,100822.26,191339.02,0,0
TRANSFER,904124.58,C1150317761,904124.58,0.0,C1725680409,0.0,0.0,1,0
TRANSFER,1830936.94,C1876486449,0.0,0.0,C1204684191,2067208.06,6425937.58,0,0
TRANSFER,85637.08,C1809932675,85637.08,0.0,C1098977292,0.0,0.0,1,0
CASH_OUT,361460.79,C136533160,361460.79,0.0,C178151720,991487.78,1352948.57,1,0
TRANSFER,1839972.36,C1811081989,1839972.36,0.0,C2017746701,0.0,0.0,1,0
CASH_OUT,156131.17,C529771231,2645.0,0.0,C646183851,330574.93,486706.11,0,0
TRANSFER,393699.17,C1660576685,393699.17,0.0,C521066417,0.0,0.0,1,0
CASH_OUT,103210.38,C870664310,0.0,0.0,C1870252780,14775446.03,16667982.08,0,0
TRANSFER,260046.26,C1901951932,0.0,0.0,C1027992087,10573033.57,10862988.56,0,0
CASH_OUT,176727.89,C1907856778,307652.17,130924.29,C1658924704,99795.53,276523.41,0,0
CASH_OUT,9060955.18,C896720879,9060955.18,0.0,C779650292,271460.43,9332415.62,1,0
CASH_OUT,125726.41,C1686405396,0.0,0.0,C2106643654,172417.65,444423.17,0,0
CASH_OUT,7535.58,C2046264393,7535.58,0.0,C592516907,44609.54,52145.11,1,0
TRANSFER,1180974.04,C428672317,173310.77,0.0,C1178471274,1547056.5,2096994.78,0,0
CASH_OUT,189724.69,C1668265390,51674.0,0.0,C1890258988,4964.0,551751.19,0,0
TRANSFER,400487.56,C1366774129,0.0,0.0,C910539221,1525788.39,2134929.91,0,0
TRANSFER,505571.43,C1946854370,505571.43,0.0,C1011987568,0.0,0.0,1,0
CASH_OUT,93549.2,C367112095,101926.0,8376.8,C1465813088,10922.0,318574.94,0,0
CASH_OUT,433026.02,C1773204180,49872.0,0.0,C1651432416,3810758.95,5964823.86,0,0
CASH_OUT,252518.82,C2008480467,0.0,0.0,C85102332,284666.74,537185.56,0,0
TRANSFER,126690.14,C498025851,126690.14,0.0,C892311426,0.0,0.0,1,0
CASH_OUT,91816.42,C1059529017,0.0,0.0,C367746789,2039290.2,2133868.99,0,0
CASH_OUT,136556.36,C798968286,0.0,0.0,C2041281014,1577066.66,3925730.02,0,0
TRANSFER,155926.42,C161250720,155926.42,0.0,C314194629,0.0,0.0,1,0
CASH_OUT,171173.19,C462217972,0.0,0.0,C1575652338,261792.45,451573.22,0,0
TRANSFER,258355.42,C1226129332,258355.42,0.0,C1744173808,0.0,0.0,1,0
CASH_OUT,237904.63,C1176037947,309390.98,71486.36,C250593727,3947.65,0.0,0,0
TRANSFER,5131896.17,C226207762,5131896.17,0.0,C290920701,0.0,0.0,1,0
CASH_OUT,31074.0,C2073757635,31074.0,0.0,C1899325653,0.0,31074.0,1,0
TRANSFER,530354.58,C1625326980,530354.58,0.0,C1011865698,0.0,0.0,1,0
TRANSFER,1089540.26,C282030384,0.0,0.0,C1778801068,10131889.79,11835842.92,0,0
CASH_OUT,76582.23,C1588297046,76582.23,0.0,C870778014,1869045.51,1945627.75,1,0
CASH_OUT,234781.06,C2043823331,40209.0,0.0,C1217639236,3646.3,228728.22,0,0
CASH_OUT,207717.23,C1214813079,0.0,0.0,C909295153,11577924.15,11785641.38,0,0
CASH_OUT,78278.45,C14027428,8036.0,0.0,C871895680,114424.75,192703.2,0,0
CASH_OUT,960196.16,C1274686397,960196.16,0.0,C37274992,932.39,961128.55,1,0
TRANSFER,119656.92,C473655651,0.0,0.0,C1076835071,125857.29,245514.21,0,0
TRANSFER,223228.11,C204083284,223228.11,0.0,C1120953259,0.0,0.0,1,0
CASH_OUT,7246962.16,C376746330,7246962.16,0.0,C1384358824,1394594.82,8641556.98,1,0
CASH_OUT,6514.47,C1710479946,6514.47,0.0,C940718761,893602.62,900117.09,1,0
TRANSFER,1064425.7,C875659264,1064425.7,0.0,C656468700,0.0,0.0,1,0
CASH_OUT,1730.07,C1161652996,18709.0,16978.93,C1820852843,405080.04,406810.11,0,0
CASH_OUT,34629.16,C1541046463,0.0,0.0,C1860513229,38735.74,0.0,0,0
CASH_OUT,89608.08,C1225732013,0.0,0.0,C716083600,1905990.18,1995598.25,0,0
CASH_OUT,75061.7,C965672314,0.0,0.0,C1334516123,92759.0,0.0,0,0
CASH_OUT,97182.0,C1846994627,0.0,0.0,C1504109395,4693000.72,4324988.42,0,0
TRANSFER,120232.13,C250418765,120232.13,0.0,C1387576762,0.0,0.0,1,0
CASH_OUT,50722.16,C688111556,50722.16,0.0,C679530338,21829.49,72551.64,1,0
CASH_OUT,185874.34,C297454952,30326.0,0.0,C1485568243,2035.0,187909.34,0,0
CASH_OUT,309852.93,C1460209259,45931.0,0.0,C883252426,0.0,309852.93,0,0
CASH_OUT,54145.99,C392572966,0.0,0.0,C1031639563,5746182.97,5739012.22,0,0
CASH_OUT,215290.75,C1337245690,189.0,0.0,C1824348154,0.0,215290.75,0,0
CASH_OUT,54177.23,C1793012242,47894.0,0.0,C71364493,23122.31,82176.43,0,0
CASH_OUT,114483.78,C934338438,114483.78,0.0,C209796396,780631.49,895115.27,1,0
CASH_OUT,49394.61,C782431035,30354.0,0.0,C501170909,0.0,78217.06,0,0
CASH_OUT,174485.69,C422232580,0.0,0.0,C1407083386,444149.14,1013969.68,0,0
CASH_OUT,116977.16,C1560425158,116977.16,0.0,C1666306933,285995.28,402972.44,1,0
CASH_OUT,239095.53,C1399296547,239095.53,0.0,C1447642335,65367.32,304462.85,1,0
CASH_OUT,5937.19,C1719825701,5937.19,0.0,C1058945845,36171.27,42108.46,1,0
CASH_OUT,164664.98,C181541632,156.0,0.0,C1748725857,30830.0,195494.98,0,0
TRANSFER,2925859.58,C382312588,2925859.58,0.0,C114627668,0.0,0.0,1,0
CASH_OUT,34808.12,C1580727170,0.0,0.0,C803116137,73083.0,13071229.35,0,0
CASH_OUT,85446.48,C1734647501,49597.0,0.0,C22448303,88189.84,1909260.34,0,0
TRANSFER,3285.58,C48996791,1732193.03,1728907.45,C1025031603,155947.71,1507.65,0,0
CASH_OUT,245062.21,C1193931117,0.0,0.0,C810886151,1326875.73,1771939.5,0,0
CASH_OUT,3641525.7,C520336445,3641525.7,0.0,C1651162496,599102.39,4240628.09,1,0
TRANSFER,1159384.75,C1104814190,0.0,0.0,C1552859894,4346369.95,10269973.47,0,0
CASH_OUT,96559.81,C81585402,0.0,0.0,C63387985,271703.64,209465.11,0,0
